,sepal_length,sepal_width,petal_length,petal_width,species
0,5.1,3.5,1.4,0.2,setosa
1,4.9,3.0,1.4,0.2,setosa
2,4.7,3.2,1.3,0.2,setosa
3,4.6,3.1,1.5,0.2,setosa
4,5.0,3.6,1.4,0.2,setosa
5,5.4,3.9,1.7,0.4,setosa
6,4.6,3.4,1.4,0.3,setosa
7,5.0,3.4,1.5,0.2,setosa
8,4.4,2.9,1.4,0.2,setosa
9,4.9,3.1,1.5,0.1,setosa
10,5.4,3.7,1.5,0.2,setosa
11,4.8,3.4,1.6,0.2,setosa
12,4.8,3.0,,0.1,setosa
13,4.3,3.0,1.1,0.1,virginica
14,5.8,4.0,,0.2,virginica
15,5.7,,1.5,0.4,virginica
16,5.4,3.9,1.3,0.4,virginica
17,5.1,3.5,,0.3,virginica
18,5.7,3.8,1.7,0.3,virginica
19,5.1,3.8,1.5,0.3,virginica
20,5.1,3.5,1.4,0.2,setosa
21,4.9,3.0,1.4,0.2,setosa
22,4.7,3.2,1.3,0.2,setosa
23,5.1,3.5,1.4,0.2,virginica
24,4.9,3.0,1.4,0.2,virginica
25,4.7,3.2,1.3,0.2,virginica
