N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"73,300",300,+0.41%,100,"4,375,851","5,969,783",52.10,"5,377,701",14.21,9.99,
2,LG에너지솔루션,"564,000","16,000",+2.92%,500,"1,319,760","234,000",4.08,"1,400,780",382.37,N/A,
3,SK하이닉스,"125,000","2,000",+1.63%,"5,000","910,003","728,002",49.93,"1,904,160",11.30,9.53,
4,삼성전자우,"67,300",200,+0.30%,100,"553,803","822,887",74.79,"258,341",13.05,N/A,
5,삼성바이오로직스,"832,000","69,000",+9.04%,"2,500","550,493","66,165",10.47,"71,659",134.11,N/A,
6,NAVER,"323,500","3,500",-1.07%,100,"530,699","164,049",55.17,"204,965",3.20,15.22,
7,LG화학,"642,000","3,000",+0.47%,"5,000","453,203","70,592",49.34,"258,219",16.73,2.93,
8,현대차,"185,500","1,000",-0.54%,"5,000","396,354","213,668",27.78,"397,536",9.40,2.04,
9,카카오,"88,100",100,+0.11%,100,"392,843","445,906",28.68,"864,077",34.69,2.70,
10,삼성SDI,"567,000","1,000",-0.18%,"5,000","389,895","68,765",44.49,"400,386",35.56,4.54,
11,기아,"79,400","1,200",+1.53%,"5,000","321,858","405,363",35.15,"888,342",7.19,5.05,
12,KB금융,"60,300",900,-1.47%,"5,000","250,732","415,808",71.39,"428,288",5.76,8.53,
13,POSCO,"268,000",500,-0.19%,"5,000","233,661","87,187",52.57,"174,825",4.01,3.61,
14,셀트리온,"162,000","5,000",+3.18%,"1,000","223,474","137,947",20.60,"264,733",41.22,16.68,
15,현대모비스,"229,000","1,000",-0.43%,"5,000","216,572","94,573",34.26,"107,745",9.22,4.66,
16,카카오뱅크,"44,000","1,650",+3.90%,"5,000","209,070","475,159",15.40,"2,482,641",142.39,5.08,
17,신한지주,"39,750",50,+0.13%,"5,000","205,348","516,600",61.32,"826,688",5.28,8.20,
18,LG전자,"125,000",0,0.00%,"5,000","204,560","163,648",28.62,"275,535",18.03,13.23,
19,삼성물산,"108,000","2,000",+1.89%,100,"201,838","186,887",15.61,"116,615",12.29,3.81,
20,SK이노베이션,"218,000","8,500",-3.75%,"5,000","201,575","92,466",23.75,"608,602","-6,411.76",-13.58,
21,카카오페이,"133,000","5,000",+3.91%,500,"175,404","131,883",42.84,"265,743",-661.69,-17.97,
22,SK,"222,500",500,-0.22%,200,"164,982","74,149",21.79,"56,714",26.00,1.11,
23,LG생활건강,"977,000","7,000",+0.72%,"5,000","152,590","15,618",42.55,"26,806",20.33,17.92,
24,크래프톤,"305,500",500,+0.16%,100,"149,610","48,972",29.29,"270,049",23.95,61.86,
25,한국전력,"22,400",500,+2.28%,"5,000","143,800","641,964",14.50,"1,286,117",-13.20,2.91,
26,하나금융지주,"46,300",50,+0.11%,"5,000","139,012","300,242",69.79,"463,324",4.32,8.96,
27,삼성생명,"63,900",0,0.00%,500,"127,800","200,000",12.68,"96,514",8.17,3.53,
28,SK바이오사이언스,"167,000","3,000",-1.76%,500,"127,755","76,500",5.43,"409,164",64.30,13.25,
29,삼성전기,"168,000",0,0.00%,"5,000","125,485","74,694",29.60,"223,199",12.91,10.92,
30,SK텔레콤,"55,900",500,+0.90%,100,"122,328","218,833",44.93,"259,032",8.67,6.44,
31,LG,"76,800",600,+0.79%,"5,000","120,807","157,301",36.22,"138,487",5.07,7.50,
32,엔씨소프트,"549,000","9,000",+1.67%,500,"120,528","21,954",43.71,"72,656",33.90,20.83,
33,HMM,"24,100",900,+3.88%,"5,000","117,859","489,039",10.36,"2,680,350",3.04,8.93,
34,삼성에스디에스,"142,500","3,000",+2.15%,500,"110,263","77,378",11.35,"54,571",16.22,6.71,
35,우리금융지주,"15,000",100,-0.66%,"5,000","109,209","728,061",32.12,"910,137",4.59,5.87,
36,하이브,"262,000","12,500",+5.01%,500,"108,346","41,353",16.11,"217,019",93.21,12.52,
37,KT&G,"78,300",300,-0.38%,"5,000","107,500","137,292",36.06,"96,752",9.03,13.22,
38,대한항공,"30,050",250,+0.84%,"5,000","104,520","347,821",11.83,"1,725,281",14.11,-7.22,
39,삼성화재,"215,000","1,500",+0.70%,500,"101,856","47,375",48.54,"37,892",9.29,4.96,
40,S-Oil,"89,900","1,000",-1.10%,"2,500","101,212","112,583",77.82,"122,491",8.66,-13.07,
41,고려아연,"528,000","9,000",-1.68%,"5,000","99,634","18,870",18.17,"25,889",13.20,8.37,
42,아모레퍼시픽,"161,000","1,500",+0.94%,500,"94,173","58,493",29.73,"66,486",62.09,0.78,
43,두산중공업,"17,550",250,+1.45%,"5,000","91,650","522,224",7.15,"3,262,173",52.08,-37.20,
44,SK아이이테크놀로지,"126,000","6,000",+5.00%,"1,000","89,835","71,298",10.53,"451,040",82.84,11.00,
45,넷마블,"103,500",500,+0.49%,100,"88,962","85,954",22.93,"113,353",38.28,6.35,
46,현대중공업,"98,700","2,800",-2.76%,"5,000","87,619","88,773",2.21,"143,258",-10.77,-7.86,
47,포스코케미칼,"112,500","1,000",+0.90%,500,"87,146","77,463",6.42,"119,137",62.81,2.96,
48,SK스퀘어,"58,900",700,+1.20%,100,"83,324","141,468",37.23,"625,318",N/A,N/A,
49,KT,"31,750",150,-0.47%,"5,000","82,903","261,112",39.06,"239,097",8.11,4.76,
50,기업은행,"10,650",0,0.00%,"5,000","79,268","744,301",13.48,"427,932",3.94,6.44,
51,LG이노텍,"333,000","2,000",-0.60%,"5,000","78,811","23,667",22.75,"270,349",10.55,10.20,
52,롯데케미칼,"213,500","10,000",+4.91%,"5,000","73,178","34,275",24.98,"129,714",5.37,1.22,
53,LG디스플레이,"19,250",50,-0.26%,"5,000","68,880","357,816",17.69,"1,287,686",4.36,-0.79,
54,에스디바이오센서,"65,300","4,900",-6.98%,500,"67,436","103,271",10.36,"2,512,999",9.90,139.97,
55,SK바이오팜,"85,100","6,300",+7.99%,500,"66,645","78,313",5.98,"261,035",-164.92,-135.18,
56,F&F,"849,000","17,000",+2.04%,500,"65,045","7,661",14.75,"6,225",N/A,N/A,
57,한화솔루션,"33,900",550,+1.65%,"5,000","64,843","191,278",18.37,"436,853",8.66,5.30,
58,현대글로비스,"168,500","1,500",-0.88%,500,"63,188","37,500",42.87,"40,394",9.08,12.45,
59,한온시스템,"11,200",50,+0.45%,100,"59,786","533,800",17.50,"333,134",20.44,5.09,
60,메리츠금융지주,"44,150",650,-1.45%,500,"59,166","134,011",8.87,"190,459",8.32,16.06,
